archive_path,table_purpose,row_unit,key_columns,interpretation_limit
data/GSE205029_contrast_estimability.csv,Pre-outcome contrast estimability decisions for GSE205029,candidate contrast,contrast_id,A contrast is unavailable when either group lacks two eligible biological samples under the unchanged retained-cell rule.
provenance/GSE205029_eligibility_provenance.json,Machine-readable provenance for the GSE205029 eligibility audit,audit record,status,Provenance for exclusion before expression modeling; not an external-validation result.
provenance/GSE205029_candidate_decision_protocol.md,Human-readable protocol and decision record for GSE205029,protocol document,not applicable,"Purpose-specific eligibility audit, not a systematic review or expression analysis."
provenance/figure_provenance.json,Figure source paths and hashes,file/provenance record,path,Presentation provenance; numerical source tables remain authoritative.
tables/Supplementary_Table_S1_Analytical_Samples.csv,Complete analytical sample and unit map,analytical sample unit,"dataset, analytical_sample_id",A deposited library is used only when finer animal/pool mapping is unavailable.
tables/Supplementary_Table_S2_Dataset_Disposition.csv,"Final inclusion, exclusion and context role",dataset,dataset,Dataset roles are estimand-specific; excluded datasets contribute no final inference.
tables/Supplementary_Table_S3_Reconstruction_Parameters.csv,"Threshold, design, version and seed register",analysis module,module,Human-readable parameter register; executable scripts and provenance are authoritative.
data/estimability_flow_matrix.csv,Purpose-specific estimability decisions underlying Figure S2 using analytical sample-unit counts,candidate dataset,dataset,The sample_unit_count stage means at least two distinct eligible analytical sample units per group; this is not a claim of animal-level independence or a formal systematic-review flowchart.
provenance/estimability_flow_figure_protocol.md,Protocol for the 11-dataset estimability flow,protocol document,not applicable,See the table header and manuscript for metric-specific interpretation.
provenance/sign_identity_calibration_protocol.md,Protocol for prevalence-preserving feature-identity permutation analysis,protocol document,not applicable,See the table header and manuscript for metric-specific interpretation.
data/sign_identity_study_direction_prevalence.csv,Study-specific score-sign prevalence preserved by permutation,study x scale x contrast,"dataset, scale, contrast_id",Sign prevalence is preserved by construction and is not itself evidence of feature identity transfer.
data/sign_identity_observed_metrics.csv,Observed identity-transfer metrics,scale x contrast x metric,"scale, contrast_id, metric",Observed transfer metrics require comparison with the corresponding permutation summary.
data/sign_identity_permutation_summary.csv,"Observed values and 10,000-draw identity-null summaries",scale x contrast x metric,"scale, contrast_id, metric",Feature-label permutation calibrates identity transfer while preserving within-study score and sign distributions.
data/sign_identity_frozen_metric_reproduction_audit.csv,Pre-permutation reproduction of predefined metrics,metric audit row,"scale, contrast_id, metric",Reproduction audit only; all absolute deviations must remain within the declared tolerance.
data/sign_identity_permutation_null_draws.npz,"Complete 600,000 metric-level permutation draws",compressed numerical array bundle,array name,Binary NumPy archive containing the complete deterministic null draws; consult provenance for array names and seed.
provenance/sign_identity_calibration_provenance.json,Machine-readable feature-identity permutation analysis provenance,provenance record,analysis,See the table header and manuscript for metric-specific interpretation.
provenance/sign_identity_calibration_audit.md,Human-readable feature-identity permutation analysis audit,audit document,not applicable,See the table header and manuscript for metric-specific interpretation.
provenance/GSE47681_orthogonal_microarray_protocol.md,Protocol for raw-CEL reconstruction and orthogonal comparison,protocol document,not applicable,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_WT_sample_manifest.csv,Eligible wild-type Affymetrix samples,biological array,gsm,Only the 13 eligible wild-type arrays are represented; knockout arrays are outside this context evaluation.
provenance/GSE47681_CEL_SHA256_manifest.csv,Integrity hashes for 13 downloaded CEL files; raw CEL files are not redistributed,eligible CEL file,"gsm, filename",Hashes document the analyzed downloads; third-party CEL files are not redistributed.
data/GSE47681_reconstruction_summary.csv,Raw-CEL reconstruction summary,summary metric,metric,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_raw_intensity_quantiles.csv,Raw-array intensity quantiles,array,gsm,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_RMA_expression_quantiles.csv,RMA expression quantiles,array,gsm,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_RLE_diagnostics.csv,Relative-log-expression diagnostics underlying Figure S4,array,gsm,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_RMA_PCA_scores.csv,RMA principal-component scores underlying Figure S4,array,gsm,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_RMA_PCA_variance.csv,Principal-component explained variance,principal component,component,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_RMA_sample_correlations.csv,Pairwise RMA sample correlations,array pair,"sample_1, sample_2",See the table header and manuscript for metric-specific interpretation.
data/GSE47681_selected_probe_by_gene.csv,Fixed maximum-IQR probe selection for unique mouse symbols,gene symbol,symbol,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_design_matrix.csv,No-intercept limma design matrix,array,gsm,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_contrast_matrix.csv,Limma endpoint and direct-change contrasts,design coefficient,coefficient,See the table header and manuscript for metric-specific interpretation.
data/GSE47681_gene_effects.csv,Robust limma gene-level effects,gene x contrast,"symbol, contrast_id",Single-study robust limma effects; not pooled into the three-study meta-analysis.
data/GSE47681_hallmark_gsea.csv,GSE47681 Hallmark preranked enrichment results,program x contrast,"term, contrast_id",Orthogonal platform context evaluation results; orthogonal context; not pooled into the three-dataset synthesis.
data/GSE47681_frozen_reference_comparison.csv,Cross-platform comparison with the predefined three-study mean,scale x contrast x metric,"scale, contrast_id, metric",Transfer to the predefined three-study mean is descriptive across a distinct platform and study context.
data/GSE47681_pairwise_reference_diagnostics.csv,Pairwise comparisons with each discovery cohort,scale x contrast x discovery cohort,"scale, contrast_id, dataset",Pairwise sensitivity diagnostics; the predefined mean remains the declared primary reference.
data/GSE47681_RMA_gene_expression.tsv.gz,Gzipped RMA gene-expression matrix,gene x array matrix,symbol,Derived RMA expression only; raw third-party CEL files are not included.
data/GSE47681_shared_feature_score_matrix.tsv.gz,Gzipped shared-feature score matrix used for transfer metrics,feature,"scale, feature",Derived comparison matrix; scale-specific denominators must be retained.
provenance/GSE47681_hallmark_gsea_provenance.json,Hallmark scoring provenance,provenance record,analysis,See the table header and manuscript for metric-specific interpretation.
provenance/GSE47681_stress_test_provenance.json,Orthogonal comparison provenance,provenance record,analysis,See the table header and manuscript for metric-specific interpretation.
provenance/GSE47681_R_sessionInfo.txt,R package and platform versions,session-information document,not applicable,See the table header and manuscript for metric-specific interpretation.
provenance/GSE47681_orthogonal_stress_test_audit.md,Human-readable reconstruction and transfer audit,audit document,not applicable,See the table header and manuscript for metric-specific interpretation.
data/effect_strength_stratified_metrics.csv,Effect-strength-stratified transfer metrics,scale x contrast x pooled absolute-score bin,"scale, contrast_id, strength_bin",Subsequent sensitivity; strata are descriptive and do not establish causal effect-strength independence.
data/effect_strength_overlap_window_metrics.csv,Transfer metrics within the common cross-sectional absolute-score window,scale x contrast,"scale, contrast_id",Shared 10th-90th percentile window; descriptive boundary analysis.
data/effect_strength_summary.csv,Effect-strength distribution summary,scale x contrast,"scale, contrast_id",Descriptive score-strength ranges used in the sensitivity analysis.
provenance/effect_strength_calibration_protocol.md,Effect-strength sensitivity protocol,protocol,none,Subsequent protocol; primary discovery tables remain predefined.
data/sign_identity_primary_metric_multiplicity.csv,Primary feature-identity concordance tests and BH multiplicity adjustment,representation x contrast,"scale, contrast_id, metric",Primary multiplicity family contains the three Hallmark contrast-level all-study concordance tests.
SHA256_MANIFEST.csv,Byte sizes and SHA256 hashes for every other archived file,file,archive_path,Integrity record; the manifest does not list itself.
LEGACY_IDENTIFIER_MAPPING.csv,Mapping of immutable legacy identifiers to manuscript-facing meanings,legacy identifier,legacy_identifier,Mapping metadata only; does not alter analytical results or provenance filenames.
